ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
1,Tamil Nadu,chennai,locality_84,Apartment,1,4740,489.76,0.1,1990,Furnished,22,1,36,10,3,High,No,No,"Playground, Gym, Garden, Pool, Clubhouse",West,Owner,Ready_to_Move
2,Maharashtra,pune,locality_490,Independent House,3,2364,195.52,0.08,2008,Unfurnished,21,20,18,8,1,Low,No,Yes,"Playground, Clubhouse, Pool, Gym, Garden",North,Builder,Under_Construction
3,Punjab,ludhiana,locality_167,Apartment,2,3642,183.79,0.05,1997,Semi-furnished,19,27,29,9,8,Low,Yes,No,"Clubhouse, Pool, Playground, Gym",South,Broker,Ready_to_Move
4,Rajasthan,jodhpur,locality_393,Independent House,2,2741,300.29,0.11,1991,Furnished,21,26,35,5,7,High,Yes,Yes,"Playground, Clubhouse, Gym, Pool, Garden",North,Builder,Ready_to_Move
5,Rajasthan,jaipur,locality_466,Villa,4,4823,182.9,0.04,2002,Semi-furnished,3,2,24,4,9,Low,No,Yes,"Playground, Garden, Gym, Pool, Clubhouse",East,Builder,Ready_to_Move
6,West Bengal,durgapur,locality_246,Apartment,4,3500,135.28,0.04,2020,Semi-furnished,27,1,6,7,7,Low,Yes,Yes,"Playground, Clubhouse",West,Broker,Ready_to_Move
7,Tamil Nadu,coimbatore,locality_254,Independent House,3,4826,318.12,0.07,2016,Furnished,16,5,10,3,6,High,No,Yes,"Clubhouse, Garden, Playground",North,Builder,Under_Construction
8,Chhattisgarh,bilaspur,locality_490,Independent House,5,4252,141.39,0.03,2021,Unfurnished,24,4,5,10,10,High,Yes,Yes,"Gym, Pool, Clubhouse, Playground",North,Builder,Under_Construction
9,Delhi,new delhi,locality_232,Villa,4,2678,189.16,0.07,2003,Semi-furnished,23,16,23,7,5,Low,No,Yes,"Garden, Clubhouse, Playground",South,Broker,Under_Construction
10,Jharkhand,ranchi,locality_122,Villa,2,1393,187.42,0.13,2011,Unfurnished,6,13,15,3,3,High,Yes,No,"Clubhouse, Playground, Garden, Gym",East,Owner,Ready_to_Move
11,Telangana,warangal,locality_75,Independent House,1,665,324.24,0.49,1991,Semi-furnished,8,12,35,1,8,Low,No,Yes,Clubhouse,North,Broker,Under_Construction
12,Karnataka,bangalore,locality_462,Apartment,5,3988,465.38,0.12,2022,Furnished,6,24,4,6,4,High,No,Yes,"Clubhouse, Pool, Playground, Gym",West,Broker,Ready_to_Move
13,Maharashtra,nagpur,locality_227,Independent House,3,1976,486.29,0.25,2020,Semi-furnished,9,1,6,6,6,Medium,No,Yes,"Clubhouse, Gym, Playground, Pool",North,Builder,Ready_to_Move
14,Delhi,new delhi,locality_287,Independent House,1,1369,309.82,0.23,2013,Unfurnished,13,4,13,10,6,Medium,No,No,"Clubhouse, Garden, Gym, Playground, Pool",South,Broker,Under_Construction
15,Uttar Pradesh,lucknow,locality_148,Apartment,2,3852,77.62,0.02,2006,Semi-furnished,26,18,20,8,3,Medium,No,No,"Garden, Gym, Playground",East,Broker,Ready_to_Move
16,Rajasthan,jaipur,locality_369,Apartment,1,2815,491.97,0.17,2015,Furnished,4,7,11,9,6,High,Yes,Yes,Playground,East,Owner,Under_Construction
17,Assam,silchar,locality_265,Villa,5,1250,75.23,0.06,1993,Semi-furnished,15,10,33,1,8,Medium,No,No,"Pool, Playground, Garden, Gym",South,Builder,Under_Construction
18,Uttarakhand,dehradun,locality_50,Villa,1,3518,234.99,0.07,2004,Unfurnished,14,8,22,8,1,High,No,Yes,"Pool, Clubhouse, Gym",West,Builder,Ready_to_Move
19,Maharashtra,pune,locality_385,Villa,3,2126,24.5,0.01,2013,Semi-furnished,10,5,13,8,1,Low,No,Yes,"Garden, Clubhouse, Pool, Gym, Playground",West,Owner,Under_Construction
20,Chhattisgarh,bilaspur,locality_241,Villa,2,2524,407.96,0.16,2016,Semi-furnished,13,18,10,8,6,High,Yes,No,"Pool, Playground, Clubhouse",North,Broker,Under_Construction
21,Uttar Pradesh,noida,locality_286,Independent House,3,1270,475.78,0.37,2018,Semi-furnished,21,21,8,3,4,Medium,No,Yes,"Clubhouse, Gym, Garden, Pool, Playground",North,Owner,Under_Construction
22,Chhattisgarh,bilaspur,locality_74,Villa,5,4626,343.4,0.07,1990,Furnished,17,7,36,6,8,Low,Yes,Yes,"Pool, Clubhouse, Gym, Playground, Garden",East,Owner,Ready_to_Move
23,Telangana,warangal,locality_459,Apartment,1,2059,488.42,0.24,1995,Furnished,0,26,31,7,6,Low,No,No,"Garden, Pool, Gym, Playground, Clubhouse",West,Broker,Under_Construction
24,Rajasthan,jaipur,locality_355,Independent House,4,3176,164.31,0.05,1990,Unfurnished,11,22,36,9,4,Low,Yes,No,"Pool, Gym, Clubhouse",East,Builder,Under_Construction
25,Bihar,gaya,locality_151,Apartment,2,1925,322.81,0.17,2019,Unfurnished,25,1,7,9,6,High,Yes,Yes,"Garden, Clubhouse, Playground",North,Owner,Under_Construction
26,Jharkhand,jamshedpur,locality_159,Villa,3,2032,50.67,0.02,1990,Unfurnished,4,21,36,3,4,Low,No,Yes,"Clubhouse, Garden",East,Owner,Ready_to_Move
27,Punjab,ludhiana,locality_382,Independent House,4,4151,143.9,0.03,1995,Unfurnished,9,5,31,4,10,High,No,Yes,"Pool, Garden, Playground, Gym",West,Owner,Ready_to_Move
28,Maharashtra,pune,locality_143,Apartment,5,2346,404.23,0.17,2016,Semi-furnished,9,10,10,8,7,High,No,Yes,"Garden, Playground, Pool, Clubhouse",South,Owner,Ready_to_Move
29,Gujarat,ahmedabad,locality_74,Independent House,5,2088,233.29,0.11,1999,Unfurnished,14,9,27,1,2,Medium,Yes,Yes,"Pool, Garden",East,Owner,Ready_to_Move
30,Telangana,hyderabad,locality_454,Apartment,3,2750,59.35,0.02,2002,Furnished,21,29,24,6,8,Low,Yes,No,"Playground, Pool",West,Broker,Under_Construction
31,Haryana,faridabad,locality_262,Apartment,4,2637,316.69,0.12,2011,Semi-furnished,15,1,15,4,7,Medium,No,Yes,"Playground, Garden, Pool, Clubhouse",East,Broker,Under_Construction
32,Punjab,amritsar,locality_466,Villa,5,1020,84.44,0.08,1991,Unfurnished,29,25,35,8,3,Low,No,No,"Pool, Clubhouse, Gym",South,Owner,Under_Construction
33,West Bengal,kolkata,locality_136,Apartment,3,2896,288.27,0.1,2022,Furnished,6,6,4,10,10,Low,Yes,Yes,Playground,East,Builder,Under_Construction
34,Uttar Pradesh,lucknow,locality_223,Apartment,3,2516,472.04,0.19,2023,Unfurnished,28,30,3,4,7,High,Yes,Yes,"Garden, Clubhouse",North,Builder,Ready_to_Move
35,Haryana,faridabad,locality_368,Villa,1,3524,308.14,0.09,2006,Semi-furnished,22,23,20,6,6,Medium,Yes,Yes,"Gym, Pool, Clubhouse, Garden",West,Builder,Ready_to_Move
36,Tamil Nadu,chennai,locality_143,Villa,1,4426,93.9,0.02,2007,Semi-furnished,17,28,19,1,8,Low,No,Yes,Garden,West,Broker,Ready_to_Move
